title,Count
"BUCKET BROTHERHOOD",34
"ROCKETEER MOTHER",33
"RIDGEMONT SUBMARINE",32
"JUGGLER HARDLY",32
"FORWARD TEMPLE",32
"SCALAWAG DUCK",32
"GRIT CLOCKWORK",32
"APACHE DIVINE",31
"TIMBERLAND SKY",31
"WIFE TURN",31
"ROBBERS JOON",31
"NETWORK PEAK",31
"RUSH GOODFELLAS",31
"ZORRO ARK",31
"GOODFELLAS SALUTE",31
"HOBBIT ALIEN",31
"HARRY IDAHO",30
"CAT CONEHEADS",30
"FROST HEAD",30
"GRAFFITI LOVE",30
"RUGRATS SHAKESPEARE",30
"PULP BEVERLY",30
"WITCHES PANIC",30
"MARRIED GO",30
"ENGLISH BULWORTH",30
"MUSCLE BRIGHT",30
"SUSPECTS QUILLS",30
"BUTTERFLY CHOCOLAT",30
"SHOCK CABIN",30
"DOGMA FAMILY",30
"MASSACRE USUAL",30
"IDOLS SNATCHERS",30
"SWEETHEARTS SUSPECTS",29
"TALENTED HOMICIDE",29
"VIDEOTAPE ARSENIC",29
"TITANS JERK",29
"GLEAMING JAWBREAKER",29
"BOOGIE AMELIE",29
"GREATEST NORTH",29
"STORM HAPPINESS",29
"VIRGINIAN PLUTO",29
"BINGO TALENTED",29
"ENEMY ODDS",29
"DEER VIRGINIAN",29
"FAMILY SWEET",29
"CONFIDENTIAL INTERVIEW",29
"MOON BUNCH",29
"CLOSER BANG",28
"FATAL HAUNTED",28
"GIANT TROOPERS",28
"ROSES TREASURE",28
"GILMORE BOILED",28
"SATURDAY LAMBS",28
"TRIP NEWTON",28
"EXPENDABLE STALLION",28
"HANDICAP BOONDOCK",28
"STORY SIDE",28
"VOYAGE LEGALLY",28
"INVASION CYCLONE",27
"PRIMARY GLASS",27
"DORADO NOTTING",27
"CAMELOT VACATION",27
"PRINCESS GIANT",27
"DETECTIVE VISION",27
"LIES TREATMENT",27
"RANGE MOONWALKER",27
"WARDROBE PHANTOM",27
"MOVIE SHAKESPEARE",27
"TELEGRAPH VOYAGE",27
"FORRESTER COMANCHEROS",27
"CURTAIN VIDEOTAPE",27
"TORQUE BOUND",27
"LOATHING LEGALLY",27
"CHANCE RESURRECTION",27
"OPERATION OPERATION",27
"SPY MILE",27
"GANGS PRIDE",27
"GOLDMINE TYCOON",27
"NONE SPIKING",27
"DANCING FEVER",27
"SWARM GOLD",27
"LOSE INCH",27
"BLACKOUT PRIVATE",27
"HORROR REIGN",27
"VELVET TERMINATOR",26
"WESTWARD SEABISCUIT",26
"TIGHTS DAWN",26
"FELLOWSHIP AUTUMN",26
"CONTACT ANONYMOUS",26
"PITY BOUND",26
"ISLAND EXORCIST",26
"HALF OUTFIELD",26
"MALKOVICH PET",26
"COMA HEAD",26
"DURHAM PANKY",26
"BROTHERHOOD BLANKET",26
"METROPOLIS COMA",26
"PELICAN COMFORTS",26
"POCUS PULP",26
"INNOCENT USUAL",26
"DISTURBING SCARFACE",26
"HYDE DOCTOR",26
"HANKY OCTOBER",26
"TRACY CIDER",26
"ALASKA PHANTOM",26
"STAGECOACH ARMAGEDDON",26
"SEABISCUIT PUNK",26
"FANTASY TROOPERS",26
"EFFECT GLADIATOR",25
"SHOW LORD",25
